waktu mulai => 2021 05 07 11:45:26
no => 323; cust id => 0005866959; subnet => S-001; jam => 2021 05 07 12:18:46
no => 324; cust id => 0050578970; subnet => S-001; jam => 2021 05 07 12:18:53
no => 325; cust id => 0045186707; subnet => S-001; jam => 2021 05 07 12:18:56
no => 326; cust id => 0002703825; subnet => S-001; jam => 2021 05 07 12:19:03
no => 327; cust id => 0021321252; subnet => S-001; jam => 2021 05 07 12:19:07
no => 328; cust id => 0003869955; subnet => S-003; jam => 2021 05 07 12:19:14
no => 329; cust id => 0030329205; subnet => S-008; jam => 2021 05 07 12:19:20
no => 330; cust id => 0045694775; subnet => S-001; jam => 2021 05 07 12:19:26
no => 331; cust id => 0001283233; subnet => S-002; jam => 2021 05 07 12:19:32
no => 332; cust id => 0024262206; subnet => S-001; jam => 2021 05 07 12:19:34
no => 333; cust id => 0050490747; subnet => S-017; jam => 2021 05 07 12:19:37
no => 334; cust id => 0021420211; subnet => S-001; jam => 2021 05 07 12:19:40
no => 335; cust id => 0000213421; subnet => S-001; jam => 2021 05 07 12:19:47
no => 336; cust id => 0013182274; subnet => S-008; jam => 2021 05 07 12:19:53
no => 337; cust id => 0003834827; subnet => S-001; jam => 2021 05 07 12:19:57
no => 338; cust id => 0045336765; subnet => S-001; jam => 2021 05 07 12:20:04
no => 339; cust id => 0018706218; subnet => S-001; jam => 2021 05 07 12:20:12
no => 340; cust id => 0018706218; subnet => S-001; jam => 2021 05 07 12:20:14
file exists => 0018706218
no => 341; cust id => 0030046999; subnet => S-001; jam => 2021 05 07 12:20:14
no => 342; cust id => 0029343233; subnet => S-001; jam => 2021 05 07 12:20:20
no => 343; cust id => 0028864718; subnet => S-009; jam => 2021 05 07 12:20:26
no => 344; cust id => 0021437231; subnet => S-001; jam => 2021 05 07 12:20:32
no => 345; cust id => 0006321707; subnet => S-001; jam => 2021 05 07 12:20:40
